Crack_length,Load,u,Specimen_name
78.1848,106.347139,17.611602,
78.1848,105.66594,17.628342,
78.1848,106.111725,17.636368,
78.1848,105.996522,17.654811,
78.1848,106.181848,17.667336,
78.4291,106.036592,17.676173,
78.4291,106.116733,17.695751,
78.4291,106.126751,17.702074,
78.4291,106.166822,17.719706,
78.4291,105.986504,17.73438,
78.4291,105.811196,17.739487,
78.4291,105.806187,17.762997,
78.6734,105.986504,17.773617,
78.6734,105.941425,17.783426,
78.6734,106.211901,17.800126,
78.6734,106.186857,17.816826,
78.6734,105.846257,17.826959,
78.6734,106.417262,17.839606,
78.6734,105.996522,17.846821,
78.6734,105.96146,17.86421,
78.6734,106.031584,17.877627,
78.6734,105.816205,17.890112,
78.6734,106.041601,17.905393,
78.6734,105.776134,17.923755,
78.6734,105.706011,17.933929,
78.6734,105.545729,17.946657,
78.6734,105.811196,17.961006,
78.9178,105.726046,17.971342,
78.9178,105.45557,17.991001,
78.9178,105.685975,17.998986,
78.9178,105.66594,18.012606,
78.9178,105.475605,18.025212,
78.9178,105.600826,18.037331,
78.9178,105.846257,18.05237,
78.9178,105.695993,18.064124,
79.1621,105.821213,18.076933,
79.1621,105.79116,18.08881,
79.1621,105.931407,18.105145,
79.1621,105.746081,18.117954,
79.1621,105.771125,18.12525,
79.1621,105.766116,18.145395,
79.1621,105.706011,18.157191,
79.1621,106.201883,18.166635,
79.4064,105.731055,18.182687,
79.4064,106.086681,18.192334,
79.4064,105.685975,18.208547,
79.4064,105.981495,18.224356,
79.4064,105.610843,18.231368,
79.4064,105.360402,18.246812,
79.4064,105.675958,18.265295,
79.4064,105.460579,18.276239,
79.4064,104.764354,18.291075,
79.4064,105.280261,18.312882,
79.6507,105.711019,18.28313,
79.6507,105.510667,18.326096,
79.6507,105.230173,18.34231,
79.6507,105.485623,18.361645,
79.6507,104.774371,18.370724,
79.6507,105.275253,18.376602,
79.6507,105.215147,18.386533,
79.6507,104.548975,18.410123,
