N_cycles,Load,exx,eyy,Specimen_name
19000,475.678389,0.00497084,-0.00102616,
19000,276.834977,0.00323531,-0.000558892,
19000,135.674832,0.00201276,-0.000340029,
19000,67.741752,0.00160362,-0.000211889,
19000,102.606725,0.00216133,-0.000370407,
19000,257.030823,0.00374672,-0.000705922,
19500,442.330112,0.0054185,-0.00108802,
19500,596.309923,0.00660872,-0.00148515,
19500,658.92976,0.00703543,-0.00154447,
19500,620.799474,0.00643326,-0.00144513,
19500,476.074472,0.00496644,-0.00101973,
19500,275.366572,0.00321864,-0.000548677,
19500,132.921571,0.00200183,-0.00033044,
19500,68.456634,0.00161607,-0.000210635,
19500,105.44693,0.0021693,-0.000363692,
19500,255.031086,0.00374804,-0.000694076,
20000,445.102694,0.00544859,-0.00109355,
20000,596.309923,0.00661585,-0.00149114,
20000,660.803912,0.00704449,-0.00154141,
20000,619.669187,0.00642623,-0.00144906,
20000,474.818599,0.00495562,-0.00101818,
20000,272.294513,0.00321352,-0.000539287,
20000,133.665434,0.00200541,-0.000343358,
20000,69.326084,0.0016234,-0.000213935,
20000,104.23936,0.00218452,-0.000373266,
20000,258.53787,0.00377419,-0.000708555,
20500,448.116791,0.00545904,-0.00108902,
20500,600.64752,0.00663931,-0.0014971,
20500,658.958742,0.00703274,-0.00154666,
20500,619.562921,0.00642675,-0.00145037,
20500,472.587008,0.00494036,-0.00102095,
20500,274.062396,0.00321208,-0.000544218,
20500,133.617132,0.00198978,-0.000329892,
20500,64.814601,0.00159349,-0.000211851,
20500,107.33074,0.00220413,-0.000379777,
20500,259.871028,0.00378822,-0.000705399,
21000,446.426192,0.00545114,-0.00110137,
21000,597.759009,0.00663841,-0.00149976,
21000,658.137593,0.00703111,-0.00154768,
21000,618.509918,0.00643244,-0.0014427,
21000,471.350455,0.00492272,-0.00100931,
21000,270.758483,0.00319348,-0.000554211,
21000,131.482147,0.00200181,-0.000334059,
21000,67.075173,0.00161147,-0.000220756,
21000,105.765729,0.00220584,-0.000376821,
21000,261.155883,0.00380883,-0.000712195,
21500,448.870315,0.00547432,-0.0011018,
21500,598.039165,0.00665246,-0.00151199,
21500,661.44151,0.00704277,-0.00155455,
21500,615.515141,0.00640084,-0.00144444,
21500,471.997713,0.00493526,-0.00102116,
21500,267.068148,0.0031729,-0.000546392,
21500,129.231236,0.00198438,-0.000338031,
21500,68.698148,0.0016275,-0.000221368,
21500,106.741446,0.00222103,-0.000391506,
21500,261.136562,0.00382151,-0.000716741,
22000,448.232718,0.00549642,-0.00111884,
22000,600.763447,0.00667282,-0.00150801,
22000,660.494773,0.00704938,-0.00155137,
22000,615.012791,0.00640508,-0.0014439,
22000,467.6891,0.00492124,-0.00100848,
22000,268.874673,0.00318704,-0.000550555,
22000,130.100687,0.00199264,-0.000338112,
22000,67.500238,0.00163605,-0.00022385,
22000,108.731522,0.00224162,-0.000383765,
22000,262.527683,0.00384429,-0.000721464,
22500,451.237154,0.00551551,-0.00111613,
22500,599.488251,0.00667038,-0.00150628,
22500,659.065008,0.00705294,-0.00154814,
22500,617.312007,0.00641221,-0.00144769,
22500,466.877612,0.00491808,-0.00101815,
22500,268.150131,0.00318371,-0.000548735,
22500,126.584242,0.00199226,-0.000340946,
22500,68.456634,0.00164492,-0.000230786,
22500,110.170945,0.00226594,-0.000397463,
22500,264.865539,0.00385328,-0.000722886,
23000,452.058302,0.00554489,-0.0011304,
23000,599.884334,0.00668687,-0.0015067,
23000,660.388507,0.00705943,-0.00155448,
23000,613.805219,0.00641681,-0.0014468,
23000,466.230354,0.00490115,-0.000995844,
23000,265.928201,0.00318226,-0.000555984,
23000,128.207216,0.00198494,-0.000335599,
23000,65.172042,0.00164725,-0.000227455,
23000,110.682955,0.00226922,-0.00039159,
23000,265.870238,0.00388349,-0.000730893,
23500,452.106605,0.00554767,-0.0011235,
23500,602.637598,0.00670691,-0.00151514,
23500,657.016966,0.00703607,-0.00154679,
23500,613.950128,0.00640127,-0.00144278,
23500,464.96482,0.00489589,-0.00100204,
23500,264.508099,0.00314998,-0.000544728,
23500,127.791812,0.00199239,-0.000334311,
23500,68.05089,0.00164872,-0.000227895,
23500,112.334912,0.00227786,-0.000396646,
23500,269.135508,0.0039054,-0.000740338,
24000,454.048379,0.00554445,-0.00112515,
24000,602.560313,0.00670757,-0.00151041,
24000,660.398168,0.00707269,-0.00155763,
24000,612.781199,0.00640498,-0.00144372,
24000,460.762473,0.00488828,-0.000995789,
24000,264.52742,0.00317398,-0.000555244,
24000,128.014005,0.00198975,-0.000337009,
24000,66.447237,0.00165745,-0.000229629,
24000,113.368592,0.00231616,-0.000397081,
24000,268.372324,0.00392935,-0.000743452,
24500,453.864828,0.00556435,-0.00113377,
24500,603.990078,0.00673141,-0.00152018,
24500,660.146993,0.00706972,-0.00155753,
24500,610.568928,0.0063857,-0.00143127,
24500,460.501638,0.00488785,-0.000995348,
24500,262.730555,0.00316743,-0.000547058,
24500,123.715055,0.0019777,-0.000328777,
24500,66.418255,0.00167178,-0.000228396,
24500,113.204362,0.00231642,-0.000398125,
24500,272.207567,0.00394062,-0.000747059,
25000,457.825661,0.00559337,-0.00114219,
25000,603.18825,0.00672301,-0.00151874,
25000,660.543076,0.00705885,-0.00155567,
25000,611.699215,0.0063931,-0.00142897,
25000,457.777358,0.00486195,-0.000973334,
25000,261.368415,0.00314811,-0.000562461,
25000,126.236462,0.00199327,-0.000337962,
25000,64.302591,0.00165589,-0.00022868,
25000,113.484519,0.00233069,-0.00040059,
25000,272.603651,0.00395358,-0.000751928,
25500,457.873964,0.00559506,-0.00114474,
25500,605.622714,0.00674613,-0.00151524,
25500,658.25352,0.00706438,-0.00155191,
25500,608.92663,0.00638817,-0.00142836,
25500,458.125138,0.00486054,-0.00097759,
25500,260.692176,0.00315415,-0.000537243,
25500,125.444295,0.00198301,-0.000327255,
25500,64.949849,0.00167026,-0.000211896,
25500,115.822375,0.00234528,-0.000398537,
25500,272.854825,0.00397816,-0.000747868,
26000,457.80634,0.00560859,-0.00114399,
26000,606.347257,0.00676336,-0.00153302,
26000,659.132632,0.00707449,-0.00156257,
26000,610.472322,0.00639031,-0.00142808,
26000,455.478143,0.00486017,-0.000961148,
26000,258.470247,0.00314629,-0.000563672,
26000,124.932286,0.00200485,-0.000338212,
26000,66.572824,0.00168888,-0.000234476,
26000,117.097569,0.00236305,-0.000410222,
26000,275.279627,0.00400602,-0.000758767,
26500,458.936626,0.00562421,-0.00115487,
26500,606.617753,0.00676149,-0.00152657,
26500,661.731327,0.00708505,-0.00154789,
26500,610.887726,0.00638878,-0.00143061,
26500,454.589371,0.00483414,-0.000981153,
26500,255.195316,0.00313359,-0.000538891,
26500,124.719753,0.00198767,-0.000333103,
26500,65.983529,0.00167805,-0.000235167,
26500,116.170155,0.00237689,-0.000411869,
26500,277.801034,0.00400844,-0.000759167,
27000,462.114953,0.00565071,-0.00115328,
27000,607.467884,0.00678227,-0.00153154,
27000,663.141771,0.00709551,-0.00156812,
27000,604.936814,0.00635759,-0.00142033,
27000,455.545767,0.00486191,-0.000961189,
27000,256.876254,0.00312289,-0.000556214,
27000,121.889208,0.00197327,-0.000347521,
27000,67.258724,0.00171061,-0.000234389,
27000,119.049003,0.00239398,-0.000423749,
27000,276.892941,0.00403087,-0.000762508,
27500,466.394584,0.00567193,-0.00116526,
27500,610.395037,0.00680208,-0.00153926,
27500,661.228977,0.00708683,-0.0015596,
27500,604.231592,0.00635574,-0.00142461,
27500,453.275534,0.00483447,-0.000972949,
27500,257.281997,0.00314049,-0.000559029,
27500,119.425765,0.00196755,-0.000328067,
27500,66.33131,0.00171496,-0.000234502,
27500,120.691298,0.00239668,-0.000419158,
27500,278.863696,0.00404916,-0.000765098,
28000,467.911293,0.00568731,-0.00117103,
28000,609.969972,0.00681086,-0.00153618,
28000,658.340465,0.00708222,-0.00156499,
28000,606.666056,0.00637054,-0.00141847,
28000,450.232455,0.00482957,-0.000957013,
28000,253.949103,0.00312,-0.00055766,
28000,122.739338,0.00200218,-0.000337746,
28000,65.790318,0.00170843,-0.000232671,
28000,120.469106,0.00242958,-0.000416702,
28000,281.723222,0.00407365,-0.00076453,
28500,464.993802,0.005681,-0.00116876,
28500,608.627152,0.00680012,-0.0015397,
28500,661.026105,0.00708728,-0.0015553,
