stress_ratio,cycles_to_failure,stress,stress_lowerbound,stress_upperbound
10.00000,1590000.,17.90947,16.73851,18.78158
10.00000,1600000.,17.90548,16.73391,18.77795
10.00000,1610000.,17.90152,16.72934,18.77435
10.00000,1620000.,17.89758,16.72481,18.77077
10.00000,1630000.,17.89367,16.72030,18.76721
10.00000,1640000.,17.88978,16.71582,18.76368
10.00000,1650000.,17.88591,16.71137,18.76017
10.00000,1660000.,17.88207,16.70695,18.75668
10.00000,1670000.,17.87826,16.70255,18.75321
10.00000,1680000.,17.87447,16.69818,18.74977
10.00000,1690000.,17.87070,16.69384,18.74634
10.00000,1700000.,17.86695,16.68953,18.74294
10.00000,1710000.,17.86323,16.68523,18.73956
10.00000,1720000.,17.85953,16.68097,18.73620
10.00000,1730000.,17.85585,16.67673,18.73285
10.00000,1740000.,17.85220,16.67252,18.72953
10.00000,1750000.,17.84856,16.66833,18.72624
10.00000,1760000.,17.84495,16.66417,18.72295
10.00000,1770000.,17.84136,16.66002,18.71969
10.00000,1780000.,17.83778,16.65591,18.71644
10.00000,1790000.,17.83423,16.65182,18.71322
10.00000,1800000.,17.83070,16.64775,18.71001
10.00000,1810000.,17.82719,16.64371,18.70683
10.00000,1820000.,17.82371,16.63968,18.70366
10.00000,1830000.,17.82024,16.63569,18.70051
10.00000,1840000.,17.81679,16.63171,18.69738
10.00000,1850000.,17.81335,16.62776,18.69426
10.00000,1860000.,17.80994,16.62383,18.69117
10.00000,1870000.,17.80655,16.61992,18.68808
10.00000,1880000.,17.80318,16.61603,18.68502
10.00000,1890000.,17.79982,16.61217,18.68198
10.00000,1900000.,17.79648,16.60832,18.67895
10.00000,1910000.,17.79317,16.60450,18.67593
10.00000,1920000.,17.78986,16.60069,18.67294
10.00000,1930000.,17.78658,16.59691,18.66995
10.00000,1940000.,17.78332,16.59314,18.66699
10.00000,1950000.,17.78007,16.58940,18.66404
10.00000,1960000.,17.77684,16.58568,18.66111
10.00000,1970000.,17.77362,16.58197,18.65820
10.00000,1980000.,17.77042,16.57829,18.65529
10.00000,1990000.,17.76724,16.57463,18.65241
10.00000,2000000.,17.76408,16.57098,18.64954
10.00000,2000000.,17.76408,16.57098,18.64954
10.00000,3000000.,17.51000,16.27819,18.41932
10.00000,4000000.,17.33193,16.07305,18.25832
10.00000,5000000.,17.19506,15.91544,18.13473
10.00000,6000000.,17.08403,15.78764,18.03455
10.00000,7000000.,16.99072,15.68028,17.95042
10.00000,8000000.,16.91030,15.58780,17.87794
10.00000,9000000.,16.83968,15.50662,17.81431
10.00000,1.0000000E+07,16.77675,15.43432,17.75764
10.00000,1.1000000E+07,16.72004,15.36917,17.70657
10.00000,1.2000000E+07,16.66843,15.30991,17.66010
10.00000,1.3000000E+07,16.62109,15.25557,17.61749
10.00000,1.4000000E+07,16.57738,15.20541,17.57815
10.00000,1.5000000E+07,16.53679,15.15885,17.54163
10.00000,1.6000000E+07,16.49892,15.11541,17.50754
10.00000,1.7000000E+07,16.46342,15.07471,17.47560
10.00000,1.8000000E+07,16.43002,15.03643,17.44554
10.00000,1.9000000E+07,16.39848,15.00029,17.41718
10.00000,2.0000000E+07,16.36862,14.96609,17.39031
10.00000,3.0000000E+07,16.13450,14.69817,17.17971
10.00000,1.3000000E+08,15.31542,13.76584,16.44255
10.00000,2.3000000E+08,15.00808,13.41831,16.16550
10.00000,3.3000000E+08,14.81680,13.20274,15.99288
10.00000,4.3000000E+08,14.67810,13.04679,15.86761
10.00000,5.3000000E+08,14.56946,12.92485,15.76941
10.00000,6.3000000E+08,14.48026,12.82487,15.68874
10.00000,7.3000000E+08,14.40466,12.74024,15.62033
10.00000,8.3000000E+08,14.33911,12.66694,15.56098
10.00000,9.3000000E+08,14.28127,12.60232,15.50859
10.00000,1.0300000E+09,14.22954,12.54458,15.46172
10.00000,1.1300000E+09,14.18277,12.49242,15.41933
10.00000,1.2300000E+09,14.14010,12.44486,15.38065
10.00000,1.3300000E+09,14.10088,12.40118,15.34509
-1.000000,1.000000,31.92257,27.31469,40.89535
-1.000000,51.00000,22.99133,20.68183,26.75422
-1.000000,101.0000,21.71670,19.65862,24.91198
-1.000000,151.0000,20.99979,19.06926,23.90132
-1.000000,201.0000,20.50436,18.65521,23.21462
-1.000000,251.0000,20.12765,18.33629,22.69931
-1.000000,301.0000,19.82475,18.07712,22.28946
-1.000000,351.0000,19.57207,17.85891,21.95074
-1.000000,401.0000,19.35571,17.67057,21.66306
-1.000000,451.0000,19.16679,17.50495,21.41371
-1.000000,501.0000,18.99932,17.35717,21.19412
-1.000000,551.0000,18.84905,17.22380,20.99829
-1.000000,601.0000,18.71288,17.10229,20.82183
-1.000000,651.0000,18.58847,16.99072,20.66143
-1.000000,701.0000,18.47401,16.88759,20.51458
-1.000000,751.0000,18.36807,16.79173,20.37927
-1.000000,801.0000,18.26951,16.70219,20.25393
-1.000000,851.0000,18.17740,16.61819,20.13727
-1.000000,901.0000,18.09098,16.53909,20.02823
-1.000000,951.0000,18.00961,16.46436,19.92593
-1.000000,1000.000,17.93424,16.39492,19.83151
-1.000000,10000.00,14.79828,13.30871,16.19051
-1.000000,20000.00,13.96638,12.43231,15.31300
