Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load
19.90004736,1,0.331225008,1.193290949
19.95005952,1,0.331977695,1.2002213
20.00007168,1,0.332906693,1.205955744
20.05008384,1,0.333645821,1.212762237
20.100096,1,0.334507018,1.218351245
20.15010816,1,0.335341096,1.22506094
20.20012032,1,0.336141229,1.230927229
20.2500096,1,0.337036341,1.237394929
20.30002176,1,0.337802589,1.243687868
20.35003392,1,0.338738352,1.250149369
20.40004608,1,0.339470714,1.257056117
20.45005824,1,0.340406507,1.263154387
20.5000704,1,0.34116596,1.270328999
20.55008256,1,0.342061073,1.276304007
20.60009472,1,0.34285444,1.283488035
20.65010688,1,0.343681723,1.289046407
20.70011904,1,0.344529361,1.295867443
20.75000832,1,0.345268488,1.301989436
20.80002048,1,0.346197486,1.308426857
20.85003264,1,0.346929818,1.315414906
20.9000448,1,0.347872376,1.321682215
20.95005696,1,0.348631859,1.328591585
21.00006912,1,0.349547297,1.335090041
21.05008128,1,0.350333899,1.342369556
21.10009344,1,0.351195067,1.348527789
21.1501056,1,0.35202235,1.355600953
21.20011776,1,0.352795392,1.361632705
21.25000704,1,0.353704035,1.368653178
21.3000192,1,0.354449958,1.375602007
21.35003136,1,0.355378956,1.382292747
21.40004352,1,0.356104523,1.389325023
21.45005568,1,0.357033521,1.395373225
21.50006784,1,0.357799768,1.402980924
21.55008,1,0.358681291,1.408788443
21.60009216,1,0.359508574,1.416601419
21.65010432,1,0.360349447,1.422852635
21.70011648,1,0.361197054,1.430560589
21.75000576,1,0.361949742,1.436689734
21.80001792,1,0.36287874,1.443878531
21.85003008,1,0.363624662,1.450994253
21.90004224,1,0.364560425,1.457710028
21.9500544,1,0.365319908,1.465398788
22.00006656,1,0.366235346,1.472187996
22.05007872,1,0.366988033,1.480009556
22.10009088,1,0.367828876,1.486107111
22.15010304,1,0.368676513,1.493954897
22.2001152,1,0.369463116,1.500918627
22.25000448,1,0.370351404,1.508329272
22.30001664,1,0.371097326,1.515325189
22.3500288,1,0.372033119,1.522696257
22.40004096,1,0.372758687,1.530219793
22.45005312,1,0.373687685,1.536850214
22.50006528,1,0.374447137,1.544791102
22.55007744,1,0.375349015,1.551550508
22.6000896,1,0.376162738,1.559882402
22.65010176,1,0.37700358,1.566459298
22.70011392,1,0.377851218,1.574726462
22.7500032,1,0.378617465,1.581332803
22.80001536,1,0.379519343,1.58908999
22.85002752,1,0.380258471,1.596405268
22.90003968,1,0.381194234,1.603717923
22.95005184,1,0.381940156,1.611562729
23.000064,1,0.382862359,1.618632555
23.05007616,1,0.383628637,1.627106905
23.10008832,1,0.384516925,1.633884311
23.15010048,1,0.385344207,1.642501593
23.20011264,1,0.386164725,1.649263263
23.25000192,1,0.387039483,1.657435894
23.30001408,1,0.387812495,1.664363384
23.35002624,1,0.388714373,1.672209024
23.4000384,1,0.389419615,1.679620028
23.45005056,1,0.390328258,1.686410069
23.50006272,1,0.391087741,1.694781423
23.55007488,1,0.391976058,1.701788187
23.60008704,1,0.392796546,1.709884167
23.6500992,1,0.393650949,1.717148542
23.70011136,1,0.394525707,1.725849867
23.75000064,1,0.395298749,1.732908249
23.8000128,1,0.396220952,1.740851164
23.85002496,1,0.39696008,1.748570085
23.90003712,1,0.397882313,1.756307721
23.95004928,1,0.398614645,1.764459491
24.00006144,1,0.399523318,1.771173358
24.0500736,1,0.40029633,1.779736519
24.10008576,1,0.401137173,1.786693454
