Machine_Displacement,Machine_Load,u--1,v--1,exx--1,eyy--1,exy--1,Th_chamber
0.860745,486.638129,0.0047671,-0.446666,-0.00342298,0.00818446,0.000153677,50
0.868991,489.955982,0.00499881,-0.449431,-0.00351821,0.00825023,0.000180304,50
0.878333,491.421636,0.00603275,-0.452326,-0.00349934,0.0083031,0.000177772,50
0.882327,494.562322,0.00485055,-0.45502,-0.00353328,0.00835499,0.000182639,50
0.892571,498.427783,0.0034223,-0.458023,-0.00353914,0.00840792,0.000192991,50
0.8927,499.50689,0.00286086,-0.46092,-0.00341531,0.00847127,0.000168721,50
0.899722,499.764588,0.00491296,-0.46366,-0.00351948,0.00852498,0.000159969,50
0.908934,501.471833,0.00460523,-0.46643,-0.00350819,0.00858002,0.000172977,50
0.899979,509.202753,0.00226096,-0.469323,-0.00352601,0.0086429,0.000161147,50
0.922915,510.475134,0.00296875,-0.472342,-0.00358333,0.00870721,0.000178792,50
0.927617,510.088588,0.00456975,-0.475297,-0.00358746,0.00876647,0.000179814,50
0.925878,510.909998,0.00293571,-0.477965,-0.00365718,0.00882393,0.000183558,50
0.937217,513.599715,0.00125648,-0.480932,-0.00366764,0.00887092,0.000173736,50
0.938248,515.500233,0.000392069,-0.483931,-0.00366705,0.00893541,0.000156817,50
0.936122,519.156314,0.00204203,-0.486797,-0.0037285,0.00899083,0.000153377,50
0.945076,520.605862,0.00150295,-0.48967,-0.00377069,0.00904812,0.000169443,50
0.95416,523.295578,-0.00105723,-0.492579,-0.00388557,0.0091017,0.000153738,50
0.958541,524.680701,-0.000662354,-0.495289,-0.00383203,0.00915199,0.000147499,50
0.967883,529.979604,0.00231784,-0.498264,-0.00385486,0.00920662,0.00014242,50
0.975549,531.670743,0.00140591,-0.501234,-0.00391814,0.00927002,0.000127567,50
0.978062,533.007548,0.00027833,-0.50408,-0.00395253,0.009329,0.000132121,50
0.988821,532.910911,4.67e-05,-0.506945,-0.00395846,0.00938324,0.000141937,50
0.993137,533.394094,0.00182294,-0.509884,-0.00400853,0.00943805,0.000118327,50
0.992042,540.190862,0.0018672,-0.512759,-0.00403247,0.00949582,0.000121332,50
1.001061,543.2027,-0.000868504,-0.515543,-0.00405462,0.00955172,8.17e-05,50
1.004927,544.056323,-0.00149831,-0.518378,-0.00414966,0.00960838,0.000101875,50
1.015235,545.167643,0.00133357,-0.52144,-0.00408497,0.00967648,8.28e-05,50
1.015557,549.210271,0.000839397,-0.52444,-0.00414502,0.00973969,5.45e-05,50
1.029472,550.98194,-0.000598716,-0.527387,-0.0041665,0.00980339,8.78e-05,50
1.02522,555.539963,-0.000717505,-0.530502,-0.00420047,0.00985974,0.000103567,50
1.034369,556.345267,0.000772491,-0.533541,-0.00424022,0.00991692,0.000121978,50
1.031212,555.42722,0.000925542,-0.536342,-0.00427621,0.00996438,0.000160695,50
1.052214,558.922241,-0.00196296,-0.539242,-0.00430781,0.010022,0.00016834,50
1.049057,562.819914,-0.00355511,-0.542395,-0.0043168,0.0100935,0.000167493,50
1.062264,562.546111,-0.00168139,-0.545541,-0.00434112,0.0101665,0.000169471,50
1.067418,566.653163,-0.00307054,-0.548568,-0.00436418,0.010234,0.000143952,50
1.06948,571.291716,-0.00498932,-0.551572,-0.00440988,0.0103064,0.000142455,50
1.074505,571.034018,-0.00463364,-0.554773,-0.00441933,0.0103715,0.000139283,50
1.082751,571.887641,-0.00303832,-0.558011,-0.00444984,0.0104411,0.000137884,50
1.089258,572.628521,-0.00272348,-0.561163,-0.00446113,0.0105112,0.000131095,50
1.093639,578.507243,-0.00463064,-0.564204,-0.00450445,0.0105744,0.000128113,50
1.094283,579.586351,-0.00553848,-0.567167,-0.00450235,0.0106361,0.00015843,50
1.105106,582.421023,-0.00363214,-0.570989,-0.00450543,0.0107115,0.000170857,50
1.112966,584.756405,-0.00462533,-0.574146,-0.00452437,0.0107776,0.000188369,50
1.112644,585.626134,-0.00708486,-0.577199,-0.00455694,0.0108467,0.000197398,50
1.116961,590.635127,-0.00708234,-0.580489,-0.00457204,0.0109083,0.000202626,50
1.138027,588.686291,-0.00580711,-0.583906,-0.00461821,0.0109717,0.000215675,50
1.128943,590.844507,-0.00514135,-0.587213,-0.00463263,0.0110386,0.000215094,50
1.146402,592.873874,-0.00645091,-0.590292,-0.00464074,0.0111008,0.000204371,50
1.147111,598.462687,-0.00723168,-0.59361,-0.00466943,0.0111552,0.000173803,50
1.156517,597.383579,-0.00523937,-0.596929,-0.00473184,0.0112309,0.00016423,50
1.154327,601.474525,-0.00847751,-0.603424,-0.00478177,0.0113638,0.000162694,50
1.161413,606.918383,-0.00918001,-0.606744,-0.00483483,0.0114266,0.000168928,50
1.190855,605.742639,-0.00919113,-0.610162,-0.00485687,0.0114966,0.000172155,50
1.183833,609.914116,-0.00921216,-0.61355,-0.00487914,0.0115733,0.000196396,50
1.194463,610.751632,-0.0105849,-0.616807,-0.00492451,0.0116362,0.000179137,50
1.19588,614.520457,-0.0109694,-0.620346,-0.00494391,0.0117135,0.000169708,50
1.204062,614.133911,-0.00883146,-0.62381,-0.00497882,0.0117773,0.000155282,50
1.216561,618.981844,-0.0081086,-0.627075,-0.00500306,0.0118606,0.000148723,50
1.220362,621.027317,-0.0103984,-0.630373,-0.00505718,0.0119347,0.000130202,50
1.244005,617.741675,-0.0104497,-0.633964,-0.00512134,0.0120147,0.000160329,50
1.235115,621.268909,-0.0101431,-0.637413,-0.00515567,0.0120871,0.000147769,50
1.241299,627.695239,-0.0101718,-0.640743,-0.00514682,0.0121562,0.000160896,50
1.244714,629.756818,-0.0124297,-0.644131,-0.00520954,0.0122359,0.000178134,50
1.254764,632.011671,-0.0136619,-0.64784,-0.00521502,0.0123096,0.000194264,50
1.2547,631.447958,-0.0115325,-0.651474,-0.00522916,0.0123758,0.000218798,50
1.266425,636.086512,-0.00994071,-0.654883,-0.00529137,0.0124385,0.00022702,50
1.276475,636.924028,-0.0121946,-0.658323,-0.00529679,0.0125032,0.000232484,50
1.286396,636.924028,-0.0120197,-0.661912,-0.00530075,0.0125681,0.000221403,50
1.282402,643.108767,-0.010749,-0.665494,-0.00533527,0.0126329,0.000225879,50
1.304371,643.527525,-0.0102726,-0.669001,-0.00544072,0.0127247,0.00023129,50
1.307721,646.668213,-0.01249,-0.672591,-0.00544517,0.0128067,0.000211603,50
1.299475,649.841113,-0.0147119,-0.676195,-0.00543405,0.0128756,0.000185107,50
1.297155,652.031541,-0.0140091,-0.679944,-0.00541467,0.0129601,0.000190586,50
1.313261,656.203019,-0.0130525,-0.683478,-0.00543297,0.0130258,0.000193032,50
1.322474,656.44461,-0.0158955,-0.687145,-0.00557883,0.013115,0.000224605,50
1.343348,655.99364,-0.0162742,-0.690941,-0.00560993,0.0131901,0.0001992,50
1.339289,661.824045,-0.0145547,-0.694728,-0.00564731,0.013283,0.000159526,50
1.354751,660.036269,-0.0133197,-0.698535,-0.0057007,0.013371,0.000181534,50
1.358423,663.660139,-0.014288,-0.70233,-0.00574427,0.0134548,0.000173032,50
1.355717,666.977994,-0.015632,-0.706283,-0.00577939,0.013536,0.000166357,50
1.377428,669.973727,-0.0148657,-0.710334,-0.00576058,0.0136299,0.000176812,50
1.381422,671.519912,-0.0134531,-0.714279,-0.00576382,0.0137232,0.000182726,50
1.390957,676.319528,-0.0161518,-0.718259,-0.00580759,0.0138069,0.000208804,50
1.411444,673.291582,-0.0169798,-0.721935,-0.00583551,0.0138987,0.000223943,50
1.398237,680.861446,-0.0149001,-0.726774,-0.00587439,0.0140142,0.00019972,50
1.408609,680.507112,-0.0135839,-0.731184,-0.00584665,0.0140998,0.000216957,50
1.422976,682.552586,-0.0146054,-0.735268,-0.00592272,0.0141729,0.000224564,50
1.427486,686.063714,-0.0150923,-0.739372,-0.00602342,0.0142603,0.000239255,50
1.450034,683.051874,-0.0137311,-0.74384,-0.00602059,0.0143586,0.000219114,50
1.445396,687.287777,-0.0113306,-0.748268,-0.0060503,0.014444,0.000199238,50
1.452225,692.876591,-0.0136954,-0.752348,-0.00610305,0.0145334,0.000200572,50
1.455832,694.310033,-0.0153681,-0.756628,-0.00611269,0.0146339,0.000214403,50
1.47909,693.66579,-0.0142295,-0.761235,-0.00615673,0.014729,0.000189628,50
1.491523,698.223814,-0.0134026,-0.76579,-0.0062481,0.0148333,0.00019724,50
1.488818,700.204863,-0.0146071,-0.770231,-0.00631051,0.0149361,0.000210381,50
1.511495,702.991218,-0.0153107,-0.774609,-0.00633626,0.0150359,0.000217316,50
1.502927,708.467289,-0.0145519,-0.779409,-0.00641468,0.0151417,0.000212499,50
1.516198,710.722142,-0.0131213,-0.784204,-0.00644119,0.0152388,0.000241504,50
1.528632,709.143745,-0.0134795,-0.788754,-0.00653776,0.0153417,0.000242479,50
1.526828,714.941939,-0.014566,-0.793206,-0.00657448,0.0154461,0.000248804,50
1.535654,718.710765,-0.0136351,-0.797861,-0.00655956,0.015546,0.000268909,50
1.570379,710.931522,-0.0136354,-0.802767,-0.0065272,0.0156488,0.000289708,50
1.570701,718.163158,-0.014452,-0.807488,-0.00661348,0.0157521,0.000295116,50
1.559105,724.106307,-0.0152425,-0.811953,-0.00661714,0.0158575,0.000304499,50
1.588096,721.464907,-0.0147337,-0.816896,-0.00666456,0.0159672,0.000319852,50
1.598403,723.043305,-0.0132344,-0.821967,-0.00674323,0.0160811,0.000294808,50
1.583521,728.229467,-0.0136099,-0.82682,-0.00682987,0.0161886,0.000288648,50
1.61554,726.667176,-0.0149228,-0.831465,-0.00681906,0.0162895,0.000280219,50
1.608454,735.622165,-0.0134272,-0.836282,-0.0068782,0.0163931,0.000308217,50
1.623336,735.92818,-0.0130325,-0.841282,-0.00691492,0.0165084,0.000278543,50
1.6435,735.428891,-0.0141506,-0.84627,-0.00692192,0.0166284,0.000294178,50
1.647559,739.165505,-0.0157178,-0.851139,-0.00699118,0.0167523,0.000274956,50
1.646464,741.178767,-0.0150898,-0.856286,-0.00705911,0.0168652,0.000309899,50
1.670945,742.918226,-0.0143025,-0.861619,-0.00709617,0.0169814,0.000321753,50
1.678483,743.610788,-0.0152617,-0.866758,-0.00709397,0.0170875,0.000299674,50
1.681189,748.023858,-0.0168895,-0.871329,-0.00714906,0.0171829,0.00031215,50
1.699228,749.602255,-0.0148713,-0.87701,-0.00716575,0.0173143,0.000304158,50
1.705606,749.151285,-0.0137934,-0.882377,-0.00723227,0.0174233,0.000291022,50
1.733244,747.830585,-0.0154215,-0.887353,-0.00724249,0.0175354,0.000300172,50
1.728476,752.839581,-0.0167144,-0.892416,-0.00733925,0.0176511,0.000282785,50
1.748899,757.590879,-0.0159788,-0.897686,-0.00737729,0.0177626,0.000283277,50
1.744131,761.150326,-0.0148532,-0.903169,-0.00747974,0.0178832,0.000279542,50
1.769257,758.895473,-0.016763,-0.908436,-0.00750526,0.0180034,0.000286644,50
1.76275,764.854728,-0.0203194,-0.914002,-0.00751224,0.0181384,0.000294364,50
1.782335,760.167854,-0.0193317,-0.919545,-0.0075514,0.0182843,0.000304484,50
