Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,exx--1,eyy--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,0.409195,341.828351,,,,,0.0210363,-0.207973,-0.00168556,0.00359835,-7.02e-05,,,,,,,,,20,,,
,,0.402753,343.455065,,,,,0.0234145,-0.209437,-0.00170834,0.00362488,-5.91e-05,,,,,,,,,20,,,
,,0.406876,344.936824,,,,,0.0246519,-0.211017,-0.00174777,0.00365949,-4.25e-05,,,,,,,,,20,,,
,,0.407134,347.384948,,,,,0.0227782,-0.212842,-0.00177277,0.00368739,2.39e-06,,,,,,,,,20,,,
,,0.401786,351.749696,,,,,0.0225272,-0.214482,-0.00178379,0.00372271,2.13e-05,,,,,,,,,20,,,
,,0.411643,353.118712,,,,,0.0239919,-0.216019,-0.00174638,0.00375414,6.91e-05,,,,,,,,,20,,,
,,0.419374,357.064702,,,,,0.0251731,-0.217693,-0.00174333,0.00379413,7.92e-05,,,,,,,,,20,,,
,,0.418021,357.966642,,,,,0.024254,-0.219334,-0.00172532,0.00383233,7.45e-05,,,,,,,,,20,,,
,,0.425366,361.687147,,,,,0.0231742,-0.220837,-0.00171979,0.00386847,6.18e-05,,,,,,,,,20,,,
,,0.42485,361.638828,,,,,0.0249498,-0.222118,-0.00170839,0.00389862,7.41e-05,,,,,,,,,20,,,
,,0.427685,360.752994,,,,,0.0264125,-0.223663,-0.00172543,0.00393687,8.08e-05,,,,,,,,,20,,,
,,0.440183,369.079837,,,,,0.0245774,-0.225053,-0.00176298,0.00396316,8.07e-05,,,,,,,,,20,,,
,,0.438315,372.526538,,,,,0.0240944,-0.226665,-0.00178463,0.00400046,7.8e-05,,,,,,,,,20,,,
,,0.435674,372.961402,,,,,0.0258802,-0.228298,-0.00178854,0.00403595,8.72e-05,,,,,,,,,20,,,
,,0.438057,376.794649,,,,,0.0267249,-0.230025,-0.00180141,0.00406055,8.07e-05,,,,,,,,,20,,,
,,0.440183,377.181195,,,,,0.0258452,-0.231745,-0.0017918,0.00409601,6.58e-05,,,,,,,,,20,,,
,,0.449074,382.689475,,,,,0.0248281,-0.233497,-0.00180046,0.00412663,6e-05,,,,,,,,,20,,,
