MD_N_cycles--1,MD_Load--1,MD_index--1 ,exx--1 ,eyy--1 ,exy--1
27500,85.226361,430,-0.000263377,0.00119999,-0.0000733
27500,168.301485,431,-0.000239958,0.00112035,-0.000066
27500,380.064184,432,-0.000534039,0.00200988,-0.0000905
27500,638.083667,433,-0.000995555,0.0032884,-0.0000991
28500,880.077765,434,-0.00168486,0.00527415,-0.000142394
28500,919.98869,435,-0.00195956,0.00606762,-0.000152434
28500,804.652896,436,-0.00192656,0.00593786,-0.000162147
28500,571.565519,437,-0.00154197,0.00486905,-0.000136483
28500,316.735081,438,-0.00102098,0.00334084,-0.000100888
28500,137.587203,439,-0.000516899,0.00191536,-0.0000944
28500,98.626613,440,-0.000252158,0.00115139,-0.0000746
28500,216.297587,441,-0.000301651,0.00130672,-0.0000729
28500,441.573308,442,-0.000654982,0.00234044,-0.0000905
28500,689.816433,443,-0.00117767,0.00381071,-0.000112246
29500,896.103337,444,-0.00175023,0.00550124,-0.000154853
29500,895.700685,445,-0.00196207,0.00609635,-0.000169907
29500,743.659106,446,-0.00181947,0.00570952,-0.000166678
29500,494.932763,447,-0.0013874,0.00447348,-0.000132878
29500,248.525844,448,-0.00084466,0.00290341,-0.000109057
29500,110.851122,449,-0.000397438,0.00161774,-0.0000748
29500,116.23055,450,-0.000214623,0.00110131,-0.0000699
29500,279.803845,451,-0.00036271,0.00154691,-0.0000724
29500,522.474168,452,-0.000794763,0.00277179,-0.000106035
29500,756.817786,453,-0.0013342,0.00430714,-0.00012685
30500,815.476194,454,-0.00146094,0.00468354,-0.000138974
30500,921.277179,455,-0.00186986,0.00583351,-0.000166864
30500,886.5041,456,-0.00198495,0.00616395,-0.000166338
30500,696.146128,457,-0.00175519,0.00550446,-0.000156115
30500,433.3431,458,-0.001272,0.00411421,-0.000122583
30500,205.24882,459,-0.000726036,0.00256373,-0.000106664
30500,97.305915,460,-0.000329629,0.00143419,-0.0000579
30500,149.199682,461,-0.00022046,0.00112759,-0.0000738
30500,324.594847,462,-0.000449494,0.00178535,-0.0000811
30500,578.217334,463,-0.000917932,0.00311622,-0.000100457
31500,838.717296,464,-0.00157308,0.00495106,-0.0001609
31500,909.841844,465,-0.00191099,0.00590035,-0.000184278
31500,826.396129,466,-0.00193678,0.00597032,-0.000179947
31500,610.751632,467,-0.00160974,0.0050786,-0.000168034
31500,354.101183,468,-0.00115119,0.00376952,-0.000133641
31500,151.470638,469,-0.000569511,0.00210511,-0.000109298
31500,85.000876,470,-0.000244472,0.00116804,-0.0000887
31500,172.585701,471,-0.000222375,0.00111554,-0.000085
31500,385.089281,472,-0.000536578,0.0020381,-0.000106679
31500,640.483474,473,-0.00105601,0.003492,-0.000123664
32500,866.677488,474,-0.00167265,0.00526297,-0.000155531
32500,906.443456,475,-0.0019334,0.0059995,-0.000169042
32500,771.248849,476,-0.00186248,0.00581255,-0.000169768
32500,542.155805,477,-0.00148173,0.00472521,-0.000144312
32500,288.823248,478,-0.000950244,0.00319019,-0.000104068
32500,113.540836,479,-0.000451384,0.00177157,-0.0000883
32500,88.96297,480,-0.000201767,0.00107002,-0.0000757
32500,222.498426,481,-0.000282079,0.0012999,-0.0000782
32500,459.112832,482,-0.00066908,0.00241268,-0.000103024
32500,711.318068,483,-0.00120825,0.00393465,-0.000122836
33500,773.519809,484,-0.00136065,0.00438897,-0.000131089
33500,910.421664,485,-0.00180593,0.00564533,-0.00016189
33500,900.661365,486,-0.0019826,0.00615811,-0.00016832
33500,732.851916,487,-0.00182173,0.00570417,-0.000162349
33500,488.570859,488,-0.00138297,0.00442812,-0.000134905
33500,243.645703,489,-0.000840558,0.00286128,-0.000109907
33500,104.360375,490,-0.000389115,0.00157955,-0.0000745
33500,115.827899,491,-0.000215207,0.0010936,-0.0000784
33500,272.137352,492,-0.000373288,0.00154034,-0.000065
33500,511.344863,493,-0.000793871,0.00275695,-0.000114429
33500,750.101544,494,-0.00132192,0.00425859,-0.000124634
34500,813.334083,495,-0.00149702,0.00476212,-0.000152058
34500,919.457189,496,-0.00187248,0.00584535,-0.000178401
34500,862.232204,497,-0.00195811,0.00611432,-0.000177084
34500,667.831617,498,-0.00171361,0.00539484,-0.000165235
34500,415.835789,499,-0.00122534,0.00400237,-0.000130142
34500,187.822047,500,-0.000672078,0.00244767,-0.000110274
34500,91.024547,501,-0.000297641,0.00135968,-0.0000776
34500,142.354601,502,-0.000205201,0.00109725,-0.0000857
34500,335.353707,503,-0.000441592,0.0018124,-0.0000999
34500,585.819407,504,-0.000929158,0.00316996,-0.000102292
35500,843.114261,505,-0.00158372,0.00505548,-0.000142456
35500,906.749472,506,-0.00190073,0.00595191,-0.00015753
35500,814.622571,507,-0.00190765,0.00596745,-0.000156604
35500,593.63086,508,-0.00157207,0.00502082,-0.000146925
35500,340.684819,509,-0.00104816,0.00352481,-0.000108125
35500,138.698522,510,-0.000525709,0.00204246,-0.0000892
35500,78.381281,511,-0.000220166,0.00115444,-0.0000609
35500,179.060343,512,-0.000224804,0.00117317,-0.0000677
35500,398.956616,513,-0.000561431,0.0021404,-0.000087
35500,661.469711,514,-0.0010885,0.00362799,-0.000108719
36500,876.180088,515,-0.0017133,0.00532671,-0.00016185
36500,906.620623,516,-0.00195966,0.00603889,-0.00017141
36500,771.570971,517,-0.00187341,0.00581019,-0.000180312
36500,533.071972,518,-0.0014742,0.00468471,-0.000151123
36500,277.436252,519,-0.000984143,0.00328524,-0.000120428
36500,120.724145,520,-0.000447748,0.00175166,-0.000106148
