Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
15,6.268405762,3.420770634,,,,,,,,,,,,,
15,6.30244043,3.430570941,,,,,,,,,,,,,
15,6.327599121,3.439996392,,,,,,,,,,,,,
15,6.343574707,3.447363386,,,,,,,,,,,,,
15,6.358547363,3.452947363,,,,,,,,,,,,,
15,6.360036621,3.45707126,,,,,,,,,,,,,
15,6.351060547,3.458910156,,,,,,,,,,,,,
15,6.331216309,3.457088489,,,,,,,,,,,,,
15,6.301101074,3.452581586,,,,,,,,,,,,,
15,6.264480957,3.445790382,,,,,,,,,,,,,
15,6.215854492,3.437409876,,,,,,,,,,,,,
15,6.172405762,3.427585121,,,,,,,,,,,,,
16,6.126169922,3.417552914,,,,,,,,,,,,,
16,6.072614258,3.409049939,,,,,,,,,,,,,
16,6.040314453,3.399438225,,,,,,,,,,,,,
16,6.000425293,3.39279999,,,,,,,,,,,,,
16,5.972533691,3.386833007,,,,,,,,,,,,,
16,5.949779297,3.382409923,,,,,,,,,,,,,
16,5.934337891,3.379900474,,,,,,,,,,,,,
16,5.947849609,3.379946109,,,,,,,,,,,,,
16,5.955279297,3.383492585,,,,,,,,,,,,,
16,5.983539551,3.38854501,,,,,,,,,,,,,
16,6.009942871,3.397124819,,,,,,,,,,,,,
16,6.051232422,3.40594817,,,,,,,,,,,,,
16,6.094916992,3.417371539,,,,,,,,,,,,,
16,6.139882324,3.428808646,,,,,,,,,,,,,
16,6.18901123,3.43978731,,,,,,,,,,,,,
16,6.222478516,3.451883793,,,,,,,,,,,,,
16,6.262683105,3.460577456,,,,,,,,,,,,,
16,6.296680176,3.469950054,,,,,,,,,,,,,
16,6.324282227,3.481256543,,,,,,,,,,,,,
16,6.343750488,3.487670561,,,,,,,,,,,,,
16,6.356239746,3.494275967,,,,,,,,,,,,,
16,6.361278809,3.498030826,,,,,,,,,,,,,
16,6.348319824,3.498765873,,,,,,,,,,,,,
16,6.332527832,3.495994024,,,,,,,,,,,,,
16,6.302787109,3.491818206,,,,,,,,,,,,,
16,6.260320801,3.486281727,,,,,,,,,,,,,
16,6.21609082,3.477354068,,,,,,,,,,,,,
16,6.166650879,3.467360977,,,,,,,,,,,,,
17,6.116924316,3.457331331,,,,,,,,,,,,,
17,6.072234375,3.446734045,,,,,,,,,,,,,
17,6.023219238,3.438597545,,,,,,,,,,,,,
17,5.988322266,3.430294804,,,,,,,,,,,,,
17,5.958210449,3.4227164,,,,,,,,,,,,,
17,5.936686035,3.41965002,,,,,,,,,,,,,
17,5.929875977,3.416940104,,,,,,,,,,,,,
17,5.932634277,3.417245811,,,,,,,,,,,,,
17,5.945591309,3.422435606,,,,,,,,,,,,,
17,5.96819873,3.424504539,,,,,,,,,,,,,
17,6.001047363,3.435072489,,,,,,,,,,,,,
17,6.043583008,3.442605725,,,,,,,,,,,,,
17,6.087945313,3.455108963,,,,,,,,,,,,,
17,6.135651367,3.465268528,,,,,,,,,,,,,
17,6.180792969,3.476862563,,,,,,,,,,,,,
17,6.219380371,3.486636095,,,,,,,,,,,,,
17,6.25488623,3.498682519,,,,,,,,,,,,,
17,6.287934082,3.508475842,,,,,,,,,,,,,
17,6.315601074,3.516220022,,,,,,,,,,,,,
17,6.334796387,3.524997504,,,,,,,,,,,,,
17,6.356892578,3.530031536,,,,,,,,,,,,,
17,6.359833008,3.534368705,,,,,,,,,,,,,
17,6.342493164,3.535140073,,,,,,,,,,,,,
17,6.323842285,3.534113755,,,,,,,,,,,,,
17,6.291842285,3.530144691,,,,,,,,,,,,,
17,6.25057959,3.522310639,,,,,,,,,,,,,
17,6.204899414,3.512076568,,,,,,,,,,,,,
17,6.155577148,3.503345419,,,,,,,,,,,,,
18,6.112216309,3.493491095,,,,,,,,,,,,,
18,6.067629883,3.483670997,,,,,,,,,,,,,
18,6.022741211,3.476724494,,,,,,,,,,,,,
18,5.984957031,3.466537222,,,,,,,,,,,,,
18,5.956106445,3.461451735,,,,,,,,,,,,,
18,5.939505859,3.457739484,,,,,,,,,,,,,
18,5.929514648,3.454855178,,,,,,,,,,,,,
18,5.931865234,3.453904763,,,,,,,,,,,,,
18,5.948612305,3.458510153,,,,,,,,,,,,,
18,5.973674805,3.46414349,,,,,,,,,,,,,
18,6.003713867,3.472135402,,,,,,,,,,,,,
18,6.043884766,3.48152034,,,,,,,,,,,,,
18,6.090287109,3.491780255,,,,,,,,,,,,,
18,6.137929688,3.502276726,,,,,,,,,,,,,
18,6.177834473,3.513677511,,,,,,,,,,,,,
18,6.218394043,3.524548374,,,,,,,,,,,,,
18,6.257293945,3.536635078,,,,,,,,,,,,,
18,6.290242676,3.545610933,,,,,,,,,,,,,
