Crack_length,Load,u,N_cycles,Specimen_name
35.609,91.047109,2.080009,60006,
35.895,90.071392,2.079092,70001,
35.895,90.323103,2.077041,70002,
35.895,90.139821,2.079573,70003,
35.895,90.159142,2.079813,70004,
35.895,90.174438,2.07405,70005,
35.895,90.188392,2.077514,70006,
36.038,89.196037,2.082638,80001,
36.038,89.089502,2.07656,80002,
36.038,89.090307,2.076612,80003,
36.038,88.870529,2.0781,80004,
36.038,89.298278,2.081602,80005,
36.038,89.205429,2.078205,80006,
36.324,87.600164,2.080512,90001,
36.324,87.688988,2.082203,90002,
36.324,87.382265,2.077649,90003,
36.324,87.651151,2.079115,90004,
36.324,87.536566,2.07372,90005,
36.324,87.551325,2.079851,90006,
36.467,86.578291,2.079175,100001,
36.467,86.861399,2.082421,100002,
36.467,86.626594,2.075478,100003,
36.467,86.665236,2.078416,100004,
36.467,86.845567,2.079265,100005,
36.467,86.609151,2.078371,100006,
36.61,85.969407,2.082203,110001,
36.61,86.060377,2.078611,110002,
36.61,85.643631,2.081496,110003,
36.61,85.901514,2.077431,110004,
36.61,85.941767,2.079926,110005,
36.61,85.991143,2.085358,110006,
36.753,84.953168,2.076387,120001,
36.753,85.052726,2.080106,120002,
36.753,84.729097,2.080392,120003,
36.753,84.759689,2.081098,120004,
36.753,84.7562,2.078791,120005,
36.753,84.822214,2.079633,120006,
36.896,84.208231,2.081151,130001,
36.896,84.267,2.08097,130002,
36.896,84.35153,2.080565,130003,
36.896,84.163417,2.081151,130004,
36.896,84.201523,2.077116,130005,
36.896,84.129605,2.080279,130006,
36.896,83.402647,2.081316,140001,
36.896,83.284305,2.079873,140002,
36.896,83.436191,2.077567,140003,
36.896,83.397012,2.080249,140004,
36.896,83.390035,2.080798,140005,
36.896,83.740767,2.082736,140006,
37.039,82.867827,2.080091,150001,
37.039,82.671933,2.079588,150002,
37.039,82.824355,2.082037,150003,
37.039,82.60565,2.080189,150004,
37.039,82.782492,2.081932,150005,
37.039,82.706281,2.082067,150006,
37.039,82.159386,2.080535,160001,
37.039,82.288998,2.078919,160002,
37.039,82.40734,2.078874,160003,
37.039,82.154287,2.079498,160004,
37.039,82.138455,2.080993,160005,
37.039,82.392313,2.084036,160006,
37.182,81.497905,2.079934,170001,
37.182,81.530912,2.082864,170002,
37.182,81.593437,2.082894,170003,
37.182,81.747738,2.081677,170004,
37.182,81.481536,2.082496,170005,
37.182,81.689506,2.078814,170006,
37.182,81.370171,2.080993,180001,
37.182,81.195744,2.080858,180002,
37.182,81.244047,2.085591,180003,
37.182,81.334481,2.081324,180004,
37.182,81.102627,2.081594,180005,
37.182,81.399958,2.084509,180006,
37.3251,80.770947,2.082443,190001,
