stress_ratio,cycles_to_failure,stress_max,stress_lowerbound,stress_upperbound
-1.0,1650000,78.4711039466419,81.29260689934762,74.48701921774541
-1.0,1660000,78.4438960019175,81.26825557119736,74.4526204674867
-1.0,1670000,78.41685146925789,81.24406165473444,74.41841716099216
-1.0,1680000,78.38996839745681,81.22002315556504,74.3844070794185
-1.0,1690000,78.3632448700479,81.19613811662221,74.35058804160947
-1.0,1700000,78.33667900448498,81.17240461724685,74.31695790324476
-1.0,1710000,78.31026895134623,81.14882077229657,74.28351455601265
-1.0,1720000,78.28401289356162,81.12538473128147,74.25025592680622
-1.0,1730000,78.25790904566267,81.10209467752573,74.21717997694158
-1.0,1740000,78.2319556530539,81.07894882735448,74.18428470139794
-1.0,1750000,78.20615099130514,81.05594542930488,74.15156812807845
-1.0,1760000,78.180493365464,81.03308276336006,74.1190283170915
-1.0,1770000,78.15498110938773,81.0103591402061,74.08666336005126
-1.0,1780000,78.12961258509412,80.98777290051072,74.05447137939716
-1.0,1790000,78.10438618213028,80.965322414222,74.02245052773246
-1.0,1800000,78.0793003169593,80.94300607988855,73.99059898717938
-1.0,1810000,78.05435343236374,80.92082232399855,73.95891496875221
-1.0,1820000,78.02954399686547,80.89876960033774,73.92739671174654
-1.0,1830000,78.00487050416166,80.87684638936567,73.8960424831452
-1.0,1840000,77.98033147257591,80.85505119760975,73.86485057703888
-1.0,1850000,77.95592544452438,80.83338255707599,73.83381931406277
-1.0,1860000,77.93165098599621,80.81183902467633,73.80294704084716
-1.0,1870000,77.90750668604798,80.79041918167208,73.77223212948255
-1.0,1880000,77.88349115631158,80.7691216331327,73.74167297699812
-1.0,1890000,77.85960303051513,80.74794500740886,73.71126800485415
-1.0,1900000,77.83584096401664,80.72688795562085,73.68101565844667
-1.0,1910000,77.81220363334974,80.70594915116033,73.6509144066249
-1.0,1920000,77.7886897357814,80.6851272892057,73.6209627412208
-1.0,1930000,77.76529798888112,80.66442108625017,73.59115917659061
-1.0,1940000,77.74202713010123,80.64382927964343,73.56150224916728
-1.0,1950000,77.71887591636796,80.62335062714419,73.53199051702451
-1.0,1960000,77.69584312368303,80.60298390648572,73.50262255945115
-1.0,1970000,77.67292754673531,80.58272791495239,73.4733969765362
-1.0,1980000,77.65012799852232,80.56258146896701,73.44431238876396
-1.0,1990000,77.62744330998135,80.54254340368962,73.41536743661894
-1.0,2000000,77.60487232962973,80.52261257262595,73.38656078020028
-1.0,3000000,75.77910302723885,78.93069082510267,71.03610133139924
-1.0,4000000,74.48369909178966,77.82169520776961,69.34793297512854
-1.0,5000000,73.47890573751839,76.97081126895303,68.02916797698286
-1.0,6000000,72.65792978939879,76.28069559556165,66.94655139101215
-1.0,7000000,71.96380451562503,75.70034907059812,66.02807414692904
-1.0,8000000,71.3625258539496,75.19971410564119,65.23036890732887
-1.0,9000000,70.83216048700793,74.75958724142144,64.52527854882806
